sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity
20250824.113869_S75,6,6,XFG.13,XFG.13,True,0.47729748,0.47715029,1.0
20250825.109558_S64,12,12,XFY,XFY,True,0.22704743,0.22704871,1.0
20250825.109872_S80,10,10,XFG.3,XFG.3,True,0.18959524,0.18958363,1.0
20250825.110732_S79,13,13,XFG.28,XFG.28,True,0.361338,0.36133729,1.0
20250825.111435_S71,8,8,XFG,XFG,True,0.31826465,0.31826707,1.0
20250825.111610_S77,4,4,XFG.3.5,XFG.3.5,True,0.91262393,0.91261779,1.0
20250825.111790_S68,6,6,NB.1.8.1,NB.1.8.1,True,0.28504712,0.28502297,1.0
20250825.112006_S66,9,9,XFG.9,XFG.9,True,0.26434397,0.26431592,1.0
20250825.112171_S89,13,13,XFG.3,XFG.3,True,0.203383,0.20337338,1.0
20250825.112179_S99,6,6,XFG.1,XFG.1,True,0.70248417,0.70250539,1.0
20250825.112236_S81,7,7,XFG.2,XFG.2,True,0.51069566,0.5106935,1.0
20250825.112489_S76,7,7,XFG.3,XFG.3,True,0.36786036,0.36785654,1.0
20250825.112749_S74,3,3,XFG.3.15,XFG.3.15,True,0.96285451,0.96284707,1.0
20250825.113063_S69,13,13,XFG.2,XFG.2,True,0.29972131,0.29972177,1.0
20250825.113153_S82,11,11,XFG,XFG,True,0.38790628,0.38790189,1.0
20250825.113217_S60,4,4,XFG.3.4,XFG.3.4,True,0.41465805,0.41465716,1.0
20250825.113342_S84,6,6,XFG.12,XFG.12,True,0.31778165,0.31775791,1.0
20250825.113419_S78,7,7,XFG.5,XFG.5,True,0.52012596,0.52012709,1.0
20250826.110937_S83,14,14,XFG.4,XFG.4,True,0.57576999,0.5757665,1.0
20250826.111259_S70,7,7,XFG.3,XFG.3,True,0.53671285,0.53672224,1.0
20250826.112224_S101,6,6,XFG.6,XFG.6,True,0.525934,0.52592942,1.0
20250826.112391_S86,2,2,XFY,XFY,True,0.98559126,0.98559126,1.0
20250826.112910_S88,12,12,XFG.3,XFG.3,True,0.25731299,0.25715753,1.0
20250826.112983_S85,10,10,XFG.30,XFG.30,True,0.27744099,0.2774373,1.0
20250826.113213_S94,2,2,NB.1.8.1,NB.1.8.1,True,0.99679814,0.99679702,1.0
20250827.111208_S93,11,11,XFG,XFG,True,0.2525544,0.25256902,1.0
20250827.111213_S92,6,6,XFG.4,XFG.4,True,0.54255598,0.54255292,1.0
20250827.111230_S100,7,7,XFG,XFG,True,0.57235427,0.57234302,1.0
20250827.111246_S98,6,6,LP.8,LP.8,True,0.73744557,0.73734962,1.0
20250827.111335_S111,10,10,XFG.3.3,XFG.3.3,True,0.2742548,0.27424941,1.0
20250827.112380_S105,5,5,XFG.2,XFG.2,True,0.591015,0.59101211,1.0
20250827.112722_S113,13,14,XFG.2,XFG.2,True,0.28126318,0.28123825,0.9285714285714286
20250827.112990_S104,10,10,XFG,XFG,True,0.25992224,0.25991623,1.0
20250827.113235_S110,5,5,XFG,XFG,True,0.74250322,0.74248827,1.0
20250827.113323_S95,8,8,XFC.3,XFC.3,True,0.45658629,0.45658384,1.0
20250827.113600_S114,18,18,XFG.2,XFG.2,True,0.3136998,0.313703,1.0
20250827.113650_S97,5,5,XFG.3.4,XFG.3.4,True,0.428545,0.42854217,1.0
20250827.113664_S96,17,17,XFG.2,XFG.2,True,0.34521821,0.34521441,1.0
